Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;02 PRIMARIA;03 TERCERO;192;10
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;02 PRIMARIA;04 CUARTO;200;10
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;02 PRIMARIA;05 QUINTO;167;8
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;03 SECUNDARIA;06 SEXTO;249;12
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;03 SECUNDARIA;07 SÉPTIMO;223;11
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;03 SECUNDARIA;08 OCTAVO;215;11
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;03 SECUNDARIA;09 NOVENO;212;11
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;04 MEDIA;10 DÉCIMO;239;12
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;04 MEDIA;11 ONCE;181;9
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;01 PREESCOLAR;00 TRANSICIÓN;122;6
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;02 PRIMARIA;01 PRIMERO;116;6
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;02 PRIMARIA;02 SEGUNDO;140;7
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;02 PRIMARIA;03 TERCERO;97;5
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;02 PRIMARIA;04 CUARTO;100;5
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;02 PRIMARIA;05 QUINTO;143;7
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;06 SEXTO;124;6
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;07 SÉPTIMO;132;7
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;08 OCTAVO;114;6
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;03 SECUNDARIA;09 NOVENO;87;4
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;04 MEDIA;10 DÉCIMO;99;5
2023;INSTITUCION EDUCATIVA RAFAEL NUÑEZ;04 MEDIA;11 ONCE;82;4
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;01 PREESCOLAR;00 TRANSICIÓN;24;1
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;01 PRIMERO;31;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;02 SEGUNDO;49;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;03 TERCERO;35;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;04 CUARTO;38;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;02 PRIMARIA;05 QUINTO;36;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;06 SEXTO;65;3
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;07 SÉPTIMO;37;2
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;08 OCTAVO;61;3
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;03 SECUNDARIA;09 NOVENO;27;1
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;04 MEDIA;10 DÉCIMO;51;3
2023;INSTITUCION EDUCATIVA ROGELIO RODRIGUEZ SEVERICHE;04 MEDIA;11 ONCE;51;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;01 PREESCOLAR;00 TRANSICIÓN;45;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;01 PRIMERO;46;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;02 SEGUNDO;35;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;03 TERCERO;46;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;04 CUARTO;57;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;02 PRIMARIA;05 QUINTO;50;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;06 SEXTO;61;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;07 SÉPTIMO;52;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;08 OCTAVO;40;2
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;03 SECUNDARIA;09 NOVENO;51;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;04 MEDIA;10 DÉCIMO;52;3
2023;INSTITUCION EDUCATIVA RURAL BUENAVISTA;04 MEDIA;11 ONCE;41;2
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;01 PREESCOLAR;00 TRANSICIÓN;51;3
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;01 PRIMERO;74;4
2023;INSTITUCION EDUCATIVA RURAL LA PEÑATA;02 PRIMARIA;02 SEGUNDO;46;2
